,id,title,readyInMinutes,time,dishtypes,calories,cost
0,262682,Thai Sweet Potato Veggie Burgers with Spicy Peanut Sauce,75,75,"[u'lunch', u'main course', u'main dish', u'dinner']",322.61,2.37
1,227961,Cajun Spiced Black Bean and Sweet Potato Burgers,20,20,"[u'lunch', u'main course', u'main dish', u'dinner']",444.74,1.32
2,759739,Gluten-Free Veggie Burger,45,45,"[u'lunch', u'main course', u'main dish', u'dinner']",273.76,1.58
3,630255,Protein Powerhouse Veggie Burgers,95,95,"[u'lunch', u'main course', u'main dish', u'dinner']",234.4,6.85
4,479732,"Meatless Monday: Curried Veggie Burgers with Zucchini, Lentils, and Quinoa",15,15,"[u'lunch', u'main course', u'main dish', u'dinner']",428.03,2.2
5,541691,Black Bean Mole Burgers,45,45,"[u'lunch', u'main course', u'main dish', u'dinner']",388.29,2.48
6,766301,Queso Cheese Burgers,60,60,"[u'lunch', u'main course', u'main dish', u'dinner']",996.71,7.51
7,8843,Lentil Burgers,45,45,"[u'lunch', u'main course', u'main dish', u'dinner']",454.38,5.76
8,33803,Lentil Hummus Burger,240,240,"[u'lunch', u'main course', u'main dish', u'dinner']",495.78,1.54
9,506584,Chickpea Sunflower Seed Burgers,45,45,"[u'lunch', u'main course', u'main dish', u'dinner']",364.87,1.41
